  0.0000000000000000e+00	 2.8695023006982217e+02	  2.4266196000929310e+02	
  3.0000000000000000e+01	 2.4363352238449409e+02	  2.4326436773342564e+02	
  6.0000000000000000e+01	 1.9321217363487497e+02	  2.4149887022969003e+02	
  9.0000000000000000e+01	 1.7202336181945464e+02	  2.4116353604238668e+02	
  1.2000000000000000e+02	 1.5105093599914952e+02	  2.3935017638987529e+02	
  1.5000000000000000e+02	 1.1388446765005510e+02	  2.4130680629198579e+02	
  1.8000000000000000e+02	 9.3140910661384510e+01	  2.4231511771607296e+02	
  2.1000000000000000e+02	 5.0054680021960330e+01	  2.4544720485888166e+02	
  2.4000000000000000e+02	 9.9309517373779528e+00	  2.4124251767387864e+02	
  2.7000000000000000e+02	 -2.1925921510836396e+01	  2.3911312627838510e+02	
  3.0000000000000000e+02	 -5.2244133177455758e+01	  2.4088088935432859e+02	
  3.3000000000000000e+02	 -8.8830390532132540e+01	  2.3748883723211884e+02	
  3.6000000000000000e+02	 -1.1960786990226035e+02	  2.3747553873171398e+02	
  3.9000000000000000e+02	 -1.5767744921797529e+02	  2.3366264692101990e+02	
  4.2000000000000000e+02	 -1.8473004166227770e+02	  2.3337499002821212e+02	
  4.5000000000000000e+02	 -2.2514027953094194e+02	  2.3686158273261711e+02	
  4.8000000000000000e+02	 -2.6532326022325890e+02	  2.3333392490870614e+02	
  5.1000000000000000e+02	 -3.0595650459127683e+02	  2.3589893326330440e+02	
  5.4000000000000000e+02	 -3.5056799192422204e+02	  2.3498242202966046e+02	
  5.7000000000000000e+02	 -3.9402442190617938e+02	  2.3781209692324043e+02	
  6.0000000000000000e+02	 -4.3868517282231539e+02	  2.3736380186268900e+02	
  6.3000000000000000e+02	 -4.8672134323792164e+02	  2.3378564886688807e+02	
  6.6000000000000000e+02	 -5.1647921004872398e+02	  2.3265025049411037e+02	
  6.9000000000000000e+02	 -5.4344279465025556e+02	  2.3667503115318092e+02	
  7.2000000000000000e+02	 -5.6757392657386606e+02	  2.3957809053928372e+02	
  7.5000000000000000e+02	 -5.8902911900506524e+02	  2.4415373992073719e+02	
  7.8000000000000000e+02	 -6.1351412181522448e+02	  2.4176351902168304e+02	
  8.1000000000000000e+02	 -6.4286702924915448e+02	  2.4064589314024005e+02	
  8.4000000000000000e+02	 -6.6841277518147660e+02	  2.4187864983500685e+02	
  8.7000000000000000e+02	 -7.0021817514738734e+02	  2.3879199714101094e+02	
  9.0000000000000000e+02	 -7.4449225940646477e+02	  2.3564032555966540e+02	
  9.3000000000000000e+02	 -7.8460210405977136e+02	  2.3264315368665476e+02	
  9.6000000000000000e+02	 -8.0580351699585287e+02	  2.3072998481996123e+02	
  9.9000000000000000e+02	 -8.3260589730570950e+02	  2.3569799141367588e+02	
  1.0200000000000000e+03	 -8.6892932140615892e+02	  2.3539998914151059e+02	
  1.0500000000000000e+03	 -8.7162609386664042e+02	  2.3915261374572992e+02	
  1.0800000000000000e+03	 -8.7186357395083292e+02	  2.4104369186756730e+02	
  1.1100000000000000e+03	 -8.4023038825207846e+02	  2.4143989257597340e+02	
  1.1400000000000000e+03	 -8.1513911165801380e+02	  2.3816917399327821e+02	
  1.1700000000000000e+03	 -7.6873011827467906e+02	  2.4129725842227165e+02	
  1.2000000000000000e+03	 -7.4847818808246598e+02	  2.4204068341998831e+02	
  1.2300000000000000e+03	 -7.0939906386123175e+02	  2.3906510791642739e+02	
  1.2600000000000000e+03	 -6.7180513547774910e+02	  2.4214591284249326e+02	
  1.2900000000000000e+03	 -6.4802512817865033e+02	  2.3796383872297199e+02	
  1.3200000000000000e+03	 -6.0666691388548293e+02	  2.3887304608917418e+02	
  1.3500000000000000e+03	 -5.7493316241812897e+02	  2.3545997278866309e+02	
  1.3800000000000000e+03	 -5.3763751656155046e+02	  2.3416038218168433e+02	
  1.4100000000000000e+03	 -4.9108604745848891e+02	  2.3248307608532846e+02	
  1.4400000000000000e+03	 -4.5166306123213349e+02	  2.2986316330598186e+02	
  1.4700000000000000e+03	 -4.2857796225015699e+02	  2.3505148586329406e+02	
  1.5000000000000000e+03	 -3.8146288032384103e+02	  2.3778089200702323e+02	
  1.5300000000000000e+03	 -3.5605662744577711e+02	  2.3701756660721014e+02	
  1.5600000000000000e+03	 -3.0731200328185736e+02	  2.3460185853337777e+02	
  1.5900000000000000e+03	 -2.6389593032826076e+02	  2.3333568342217595e+02	
  1.6200000000000000e+03	 -2.1304096946330475e+02	  2.3703029299631044e+02	
  1.6500000000000000e+03	 -1.7657352194362227e+02	  2.3715092971614760e+02	
  1.6800000000000000e+03	 -1.2876906083986194e+02	  2.4129911523267941e+02	
  1.7100000000000000e+03	 -8.1853102685564721e+01	  2.4284140363558674e+02	
  1.7400000000000000e+03	 -4.5711417950254251e+01	  2.4496792146205851e+02	
  1.7700000000000000e+03	 -7.3269663377654197e+00	  2.5199132055263496e+02	
  1.8000000000000000e+03	 1.7371398633596851e+01	  2.5403959038864807e+02	
  1.8300000000000000e+03	 5.8947847038593181e+01	  2.6096757461914552e+02	
  1.8600000000000000e+03	 9.7488964392427036e+01	  2.6588126418237442e+02	
